ci,name,phone,address
1234567,Juan Perez,0981123456,Barrio Centro
2345678,Maria Lopez,0982234567,"Av. Mariscal Lopez 1200, Asuncion"
3456789,Carlos Rodriguez,0983345678,"Calle San Martin 450, Fernando de la Mora"
4567890,Ana Gonzalez,0984456789,"Barrio Las Mercedes, Luque"
5678901,Pedro Benitez,0985567890,"Av. Eusebio Ayala 3400, Asuncion"
6789012,Laura Gimenez,0986678901,"Ruta 2 km 18, Capiata"
7890123,Roberto Sosa,0987789012,"Barrio San Pablo, San Lorenzo"
8901234,Sandra Romero,0988890123,"Av. Artigas 560, Lambare"
9012345,Miguel Ferreira,0989901234,"Calle Independencia 780, Villa Elisa"
1357924,Claudia Vera,0981357924,"Barrio Recoleta, Asuncion"
2468135,Diego Acosta,0982468135,"Av. Carlos A Lopez 890, Itaugua"
3579246,Patricia Mendez,0983579246,"Calle Mariano R Alonso 234, Asuncion"
4680357,Jorge Cabrera,0984680357,"Barrio Trinidad, Asuncion"
5791468,Silvia Duarte,0985791468,"Av. Defensores del Chaco 4500, Asuncion"
6802579,Oscar Villalba,0986802579,"Ruta 1 km 24, Ita"
7913680,Monica Riveros,0987913680,"Barrio Herrera, Asuncion"
8024791,Hector Caceres,0988024791,"Av. Boggiani 2300, Asuncion"
9135802,Elizabeth Morel,0989135802,"Calle Colon 1100, Caaguazu"
1246913,Fernando Riquelme,0981246913,"Barrio San Cristobal, Asuncion"
2357024,Gloria Brizuela,0982357024,"Av. Mcal Lopez 4200, Asuncion"
3468135,Alfredo Espinola,0983468135,"Calle Ytororo 567, Pedro Juan Caballero"
4579246,Natalia Valdez,0984579246,"Barrio Obrero, Asuncion"
5680357,Ricardo Paredes,0985680357,"Av. San Martin 1890, Luque"
6791468,Carmen Ojeda,0986791468,"Ruta 7 km 6, San Lorenzo"
7802579,Rodrigo Leiva,0987802579,"Barrio Sajonia, Asuncion"
8913680,Norma Fleitas,0988913680,"Calle Palma 340, Ciudad del Este"
9024791,Edgardo Torres,0989024791,"Av. Eusebio Ayala 890, Asuncion"
1135802,Beatriz Samudio,0981135802,"Barrio Jara, Asuncion"
2246913,Raul Enciso,0982246913,"Calle Teniente Fariña 120, Villarrica"
3357024,Lorena Alvarez,0983357024,"Av. Republica Argentina 2200, Asuncion"
4468135,Pablo Ibarrola,0984468135,"Barrio Las Lomas, San Lorenzo"
5579246,Elena Rojas,0985579246,"Ruta 2 km 30, Coronel Oviedo"
6680357,Victor Benites,0986680357,"Calle Mayor Martinez 450, Encarnacion"
7791468,Isabel Cardozo,0987791468,"Barrio Manora, Fernando de la Mora"
8802579,Julio Benitez,0988802579,"Av. Mcal Estigarribia 3100, Asuncion"
9913680,Rosa Sanabria,0989913680,"Calle Cerro Cora 890, Capiata"
1024791,Gustavo Paniagua,0981024791,"Barrio Campo Grande, Asuncion"
2135802,Cristina Cantero,0982135802,"Av. Santa Teresa 2400, Itaugua"
3246913,Ernesto Vera,0983246913,"Ruta 1 km 55, Paraguari"
4357024,Alicia Nunez,0984357024,"Calle Capitan Brizuela 780, Concepcion"
5468135,Nelson Medina,0985468135,"Barrio Joven Paraguay, Asuncion"
6579246,Teresa Solis,0986579246,"Av. Aviadores del Chaco 3800, Asuncion"
7680357,Hernan Bogado,0987680357,"Calle Independencia 234, Caacupe"
8791468,Adriana Godoy,0988791468,"Barrio Don Bosco, Asuncion"
9802579,Marcos Diaz,0989802579,"Ruta 7 km 15, Minga Guazu"
1913680,Susana Maldonado,0981913680,"Av. Charles de Gaulle 1200, Asuncion"
2024791,Jose Ortiz,0982024791,"Calle Alberdi 560, Encarnacion"
3135802,Mirta Peralta,0983135802,"Barrio San Jorge, San Lorenzo"
4246913,Andres Centurion,0984246913,"Av. Madame Lynch 4600, Asuncion"
5357024,Liliana Duarte,0985357024,"Ruta 2 km 8, Aregua"
6468135,Hugo Jara,0986468135,"Calle Oliva 890, Ciudad del Este"
7579246,Viviana Zarza,0987579246,"Barrio San Vicente, Asuncion"
8680357,Cesar Avalos,0988680357,"Av. Kubitschek 1500, Luque"
