client_ci,client_name,phone,address,machine_name,brand,machine_model,serial_number,accessories,observations,description,mechanic_id,mechanic_name,warranty_type,warranty_notes,related_order_id
1234567,Juan Perez,0981123456,Barrio Centro,Motosierra,Stihl,MS 170,SN-ABC-001,Cadena y espada,No enciende,Revision general,,,,,
2345678,Maria Lopez,0982234567,Av. Mariscal Lopez 1200,Sopladora mochila,Husqvarna,550iBT,SN-HUS-001,Sin accesorios,Perdida de potencia,Revision y limpieza de carburador,,,,,
3456789,Carlos Rodriguez,0983345678,Calle San Martin 450,Desmalezadora,Stihl,FS 240,SN-STH-FS01,Cabezal y protector,Vibra excesivamente,Revision de engranaje y balanceo,,,,,
4567890,Ana Gonzalez,0984456789,Barrio Las Mercedes,Hidrolavadora,Karcher,KHB 6 Plus,SN-KAR-001,Manguera y pistola,Baja presion,Revision de bomba y filtros,,,,,
5678901,Pedro Benitez,0985567890,Av. Eusebio Ayala 3400,Motosierra,Stihl,MS 250,SN-STH-250,Cadena 45cm,Cadena desgastada,Cambio de cadena y afilado,,,,,
6789012,Laura Gimenez,0986678901,Ruta 2 km 18,Cortacesped,Honda,HRX217,SN-HON-001,Bolsa recolectora,No arranca,Revision de carburador y encendido,,,,,
7890123,Roberto Sosa,0987789012,Barrio San Pablo,Sopladora mano,Stihl,BG 86,SN-STH-BG86,Sin accesorios,Bujia quemada,Cambio de bujia y ajuste de carburador,,,,,
8901234,Sandra Romero,0988890123,Av. Artigas 560,Desmalezadora,Husqvarna,545 RX,SN-HUS-545,Hilo y protector,Hilo roto frecuentemente,Revision de cabezal y ajuste,,,,,
9012345,Miguel Ferreira,0989901234,Calle Independencia 780,Motosierra,Husqvarna,572 XP,SN-HUS-572,Barra 55cm y cadena,Corte irregular,Afilado de cadena y ajuste de barra,,,,,
1357924,Claudia Vera,0981357924,Barrio Recoleta,Hidrolavadora,Briggs & Stratton,020681,SN-BNS-001,Manguera 10m,Motor no arranca,Revision de motor y filtro de combustible,,,,,
2468135,Diego Acosta,0982468135,Av. Carlos A Lopez 890,Sopladora mochila,Stihl,BR 700,SN-STH-BR7,Arnés y boquillas,Tubo roto,Cambio de tubo y revision general,,,,,
3579246,Patricia Mendez,0983579246,Calle Mariano R Alonso,Motosierra,Stihl,MS 180,SN-STH-180,Cadena 35cm,Aceite no lubrica,Revision de bomba de aceite,,,,,
4680357,Jorge Cabrera,0984680357,Barrio Trinidad,Barredora,Nilfisk,SW 5500,SN-NIL-001,Cepillos laterales,Cepillo desgastado,Cambio de cepillo central,,,,,
5791468,Silvia Duarte,0985791468,Av. Defensores del Chaco,Desmalezadora,Echo,SRM-225,SN-ECH-225,Cabezal y hilo,No tiene potencia,Limpieza de carburador y ajuste,,,,,
6802579,Oscar Villalba,0986802579,Ruta 1 km 24,Motosierra,Stihl,MS 230,SN-STH-230,Barra 40cm,Freno de cadena falla,Revision y cambio de freno,,,,,
7913680,Monica Riveros,0987913680,Barrio Herrera,Sopladora mochila,Echo,PB-580T,SN-ECH-580,Arnés y boquillas,Arranca pero apaga,Revision de carburador y filtros,,,,,
8024791,Hector Caceres,0988024791,Av. Boggiani 2300,Hidrolavadora,Pressure-Pro,PP3225H,SN-PRP-001,Manguera 25ft,Boquilla tapada,Limpieza de boquillas y filtro agua,,,,,
9135802,Elizabeth Morel,0989135802,Calle Colon 1100,Cortacesped,Husqvarna,PW125,SN-HUS-PW1,Sin accesorios,Bomba no presuriza,Revision y cambio de sellos,,,,,
